Month,Main Category,Subcategory,Cost Amount
2017-05-01,Utilities,Gas,4258.13
2017-05-01,Sales & Marketing,OTA Commissions,1678.55
2017-05-01,Sales & Marketing,Advertising,31199.65
2017-05-01,Sales & Marketing,Promotions,1876.69
2017-05-01,Maintenance & Repairs,Preventive Maintenance,13980.34
2017-05-01,Maintenance & Repairs,Repairs,3778.01
2017-05-01,Maintenance & Repairs,Equipment Maintenance,18050.64
2017-05-01,Administrative & General,Management Salaries,1463.36
2017-05-01,Administrative & General,IT Costs,10963.46
2017-05-01,Administrative & General,Insurance,23131.98
2017-06-01,Rooms Department,Front Office Labor,289.77
2017-06-01,Rooms Department,Guest Amenities,25306.98
2017-06-01,Rooms Department,Cleaning Supplies,827.15
2017-06-01,Housekeeping & Laundry,Housekeeping Labor,23663.26
2017-06-01,Housekeeping & Laundry,Laundry,16938.33
2017-06-01,Housekeeping & Laundry,Linen Replacement,2183.24
2017-06-01,Utilities,Electricity,4942.08
2017-06-01,Utilities,Water,19002.55
2017-06-01,Utilities,Gas,1966.56
2017-06-01,Sales & Marketing,OTA Commissions,27170.02
2017-06-01,Sales & Marketing,Advertising,8439.64
2017-06-01,Sales & Marketing,Promotions,4421.61
2017-06-01,Maintenance & Repairs,Preventive Maintenance,2342.35
2017-06-01,Maintenance & Repairs,Repairs,4933.96
2017-06-01,Maintenance & Repairs,Equipment Maintenance,26436.13
2017-06-01,Administrative & General,Management Salaries,21978.96
2017-06-01,Administrative & General,IT Costs,15227.19
2017-06-01,Administrative & General,Insurance,2002.69
2017-07-01,Rooms Department,Front Office Labor,39751.34
2017-07-01,Rooms Department,Guest Amenities,3301.14
2017-07-01,Rooms Department,Cleaning Supplies,3512.04
2017-07-01,Housekeeping & Laundry,Housekeeping Labor,30698.96
2017-07-01,Housekeeping & Laundry,Laundry,9545.29
2017-07-01,Housekeeping & Laundry,Linen Replacement,2195.83
2017-07-01,Utilities,Electricity,2973.2
2017-07-01,Utilities,Water,10965.69
2017-07-01,Utilities,Gas,44671.47
2017-07-01,Sales & Marketing,OTA Commissions,15404.44
2017-07-01,Sales & Marketing,Advertising,18007.4
2017-07-01,Sales & Marketing,Promotions,2836.11
2017-07-01,Maintenance & Repairs,Preventive Maintenance,11485.85
2017-07-01,Maintenance & Repairs,Repairs,18345.17
2017-07-01,Maintenance & Repairs,Equipment Maintenance,5873.18
2017-07-01,Administrative & General,Management Salaries,40870.71
2017-07-01,Administrative & General,IT Costs,9862.83
2017-07-01,Administrative & General,Insurance,2722.77
2017-08-01,Rooms Department,Front Office Labor,22028.43
2017-08-01,Rooms Department,Guest Amenities,21954.16
2017-08-01,Rooms Department,Cleaning Supplies,15205.11
2017-08-01,Housekeeping & Laundry,Housekeeping Labor,3624.8
2017-08-01,Housekeeping & Laundry,Laundry,35747.75
2017-08-01,Housekeeping & Laundry,Linen Replacement,33912.68
2017-08-01,Utilities,Electricity,21187.06
2017-08-01,Utilities,Water,1315.71
2017-08-01,Utilities,Gas,21890.1
2017-08-01,Sales & Marketing,OTA Commissions,22943.82
2017-08-01,Sales & Marketing,Advertising,12544.57
2017-08-01,Sales & Marketing,Promotions,17825.69
2017-08-01,Maintenance & Repairs,Preventive Maintenance,23457.43
2017-08-01,Maintenance & Repairs,Repairs,30835.04
2017-08-01,Maintenance & Repairs,Equipment Maintenance,5311.1
2017-08-01,Administrative & General,Management Salaries,15208.03
2017-08-01,Administrative & General,IT Costs,26269.51
2017-08-01,Administrative & General,Insurance,27189.24
2017-09-01,Rooms Department,Front Office Labor,737.33
2017-09-01,Rooms Department,Guest Amenities,17478.91
2017-09-01,Rooms Department,Cleaning Supplies,812.12
2017-09-01,Housekeeping & Laundry,Housekeeping Labor,2343.41
2017-09-01,Housekeeping & Laundry,Laundry,9736.17
2017-09-01,Housekeeping & Laundry,Linen Replacement,8339.43
2017-09-01,Utilities,Electricity,3197.15
2017-09-01,Utilities,Water,13519.35
2017-09-01,Utilities,Gas,5796.88
2017-09-01,Sales & Marketing,OTA Commissions,8996.53
2017-09-01,Sales & Marketing,Advertising,11587.68
2017-09-01,Sales & Marketing,Promotions,4184.2
2017-09-01,Maintenance & Repairs,Preventive Maintenance,4090.65
2017-09-01,Maintenance & Repairs,Repairs,25929.62
2017-09-01,Maintenance & Repairs,Equipment Maintenance,1407.84
2017-09-01,Administrative & General,Management Salaries,2994.35
2017-09-01,Administrative & General,IT Costs,10323.87
2017-09-01,Administrative & General,Insurance,8269.25
2017-10-01,Rooms Department,Front Office Labor,4416.22
2017-10-01,Rooms Department,Guest Amenities,24463.89
2017-10-01,Rooms Department,Cleaning Supplies,2765.76
2017-10-01,Housekeeping & Laundry,Housekeeping Labor,824.69
2017-10-01,Housekeeping & Laundry,Laundry,10200.26
2017-10-01,Housekeeping & Laundry,Linen Replacement,15843.19
2017-10-01,Utilities,Electricity,19731.45
2017-10-01,Utilities,Water,4221.47
2017-10-01,Utilities,Gas,6927.13
2017-10-01,Sales & Marketing,OTA Commissions,37360.25
2017-10-01,Sales & Marketing,Advertising,2797.37
2017-10-01,Sales & Marketing,Promotions,5999.16
2017-10-01,Maintenance & Repairs,Preventive Maintenance,474.88
2017-10-01,Maintenance & Repairs,Repairs,6225.43
2017-10-01,Maintenance & Repairs,Equipment Maintenance,33893.37
2017-10-01,Administrative & General,Management Salaries,30338.15
2017-10-01,Administrative & General,IT Costs,5756.43
2017-10-01,Administrative & General,Insurance,2685.85
2017-11-01,Rooms Department,Front Office Labor,43197.98
2017-11-01,Rooms Department,Guest Amenities,152.29
2017-11-01,Rooms Department,Cleaning Supplies,22375.53
2017-11-01,Housekeeping & Laundry,Housekeeping Labor,16292.33
2017-11-01,Housekeeping & Laundry,Laundry,16471.86
2017-11-01,Housekeeping & Laundry,Linen Replacement,27511.55
2017-11-01,Utilities,Electricity,16491.75
2017-11-01,Utilities,Water,3187.18
2017-11-01,Utilities,Gas,31412.73
2017-11-01,Sales & Marketing,OTA Commissions,11553.46
2017-11-01,Sales & Marketing,Advertising,19568.08
2017-11-01,Sales & Marketing,Promotions,20544.9
2017-11-01,Maintenance & Repairs,Preventive Maintenance,11229.86
2017-11-01,Maintenance & Repairs,Repairs,41323.82
2017-11-01,Maintenance & Repairs,Equipment Maintenance,8797.15
2017-11-01,Administrative & General,Management Salaries,9512.77
2017-11-01,Administrative & General,IT Costs,17127.21
2017-11-01,Administrative & General,Insurance,13428.53
2017-12-01,Rooms Department,Front Office Labor,36325.81
2017-12-01,Rooms Department,Guest Amenities,4086.82
2017-12-01,Rooms Department,Cleaning Supplies,3143.87
2017-12-01,Housekeeping & Laundry,Housekeeping Labor,1350.71
2017-12-01,Housekeeping & Laundry,Laundry,19714.2
2017-12-01,Housekeeping & Laundry,Linen Replacement,20925.21
2017-12-01,Utilities,Electricity,21139.87
2017-12-01,Utilities,Water,10322.42
2017-12-01,Utilities,Gas,21940.62
2017-12-01,Sales & Marketing,OTA Commissions,19986.17
2017-12-01,Sales & Marketing,Advertising,15705.76
2017-12-01,Sales & Marketing,Promotions,12596.04
2017-12-01,Maintenance & Repairs,Preventive Maintenance,384.19
2017-12-01,Maintenance & Repairs,Repairs,17680.11
2017-12-01,Maintenance & Repairs,Equipment Maintenance,11805.96
2017-12-01,Administrative & General,Management Salaries,4368.19
2017-12-01,Administrative & General,IT Costs,22793.65
2017-12-01,Administrative & General,Insurance,23625.21
2018-01-01,Rooms Department,Front Office Labor,2159.47
2018-01-01,Rooms Department,Guest Amenities,26783.81
2018-01-01,Rooms Department,Cleaning Supplies,9194.95
2018-01-01,Housekeeping & Laundry,Housekeeping Labor,12814.27
2018-01-01,Housekeeping & Laundry,Laundry,11688.53
2018-01-01,Housekeeping & Laundry,Linen Replacement,23821.49
2018-01-01,Utilities,Electricity,20887.2
2018-01-01,Utilities,Water,7341.67
2018-01-01,Utilities,Gas,10053.02
2018-01-01,Sales & Marketing,OTA Commissions,10580.17
2018-01-01,Sales & Marketing,Advertising,2914.15
2018-01-01,Sales & Marketing,Promotions,38995.81
2018-01-01,Maintenance & Repairs,Preventive Maintenance,24203.04
2018-01-01,Maintenance & Repairs,Repairs,324.66
2018-01-01,Maintenance & Repairs,Equipment Maintenance,8396.4
2018-01-01,Administrative & General,Management Salaries,16969.12
2018-01-01,Administrative & General,IT Costs,1748.92
2018-01-01,Administrative & General,Insurance,14033.0
2018-02-01,Rooms Department,Front Office Labor,14437.38
2018-02-01,Rooms Department,Guest Amenities,23265.94
2018-02-01,Rooms Department,Cleaning Supplies,6466.58
2018-02-01,Housekeeping & Laundry,Housekeeping Labor,33967.07
2018-02-01,Housekeeping & Laundry,Laundry,5174.73
2018-02-01,Housekeeping & Laundry,Linen Replacement,3331.09
2018-02-01,Utilities,Electricity,10800.62
2018-02-01,Utilities,Water,26274.32
2018-02-01,Utilities,Gas,17614.03
2018-02-01,Sales & Marketing,OTA Commissions,23957.81
2018-02-01,Sales & Marketing,Advertising,9365.13
2018-02-01,Sales & Marketing,Promotions,22408.28
2018-02-01,Maintenance & Repairs,Preventive Maintenance,11848.28
2018-02-01,Maintenance & Repairs,Repairs,47044.45
2018-02-01,Maintenance & Repairs,Equipment Maintenance,2844.72
2018-02-01,Administrative & General,Management Salaries,13319.12
2018-02-01,Administrative & General,IT Costs,19817.73
2018-02-01,Administrative & General,Insurance,8633.22
2018-03-01,Rooms Department,Front Office Labor,29783.94
2018-03-01,Rooms Department,Guest Amenities,30881.32
2018-03-01,Rooms Department,Cleaning Supplies,3709.39
2018-03-01,Housekeeping & Laundry,Housekeeping Labor,6282.76
2018-03-01,Housekeeping & Laundry,Laundry,32207.45
2018-03-01,Housekeeping & Laundry,Linen Replacement,8221.05
2018-03-01,Utilities,Electricity,28885.85
2018-03-01,Utilities,Water,112.13
2018-03-01,Utilities,Gas,20451.64
2018-03-01,Sales & Marketing,OTA Commissions,3922.62
2018-03-01,Sales & Marketing,Advertising,15337.02
2018-03-01,Sales & Marketing,Promotions,38248.27
2018-03-01,Maintenance & Repairs,Preventive Maintenance,31809.79
2018-03-01,Maintenance & Repairs,Repairs,3974.06
2018-03-01,Maintenance & Repairs,Equipment Maintenance,5653.07
2018-03-01,Administrative & General,Management Salaries,41754.5
2018-03-01,Administrative & General,IT Costs,2540.61
2018-03-01,Administrative & General,Insurance,29653.67
2018-04-01,Rooms Department,Front Office Labor,4350.17
2018-04-01,Rooms Department,Guest Amenities,2029.23
2018-04-01,Rooms Department,Cleaning Supplies,24871.98
2018-04-01,Housekeeping & Laundry,Housekeeping Labor,14660.81
2018-04-01,Housekeeping & Laundry,Laundry,32190.68
2018-04-01,Housekeeping & Laundry,Linen Replacement,2090.98
2018-04-01,Utilities,Electricity,10287.23
2018-04-01,Utilities,Water,15430.63
2018-04-01,Utilities,Gas,18977.15
2018-04-01,Sales & Marketing,OTA Commissions,11099.56
2018-04-01,Sales & Marketing,Advertising,11464.08
2018-04-01,Sales & Marketing,Promotions,26284.67
2018-04-01,Maintenance & Repairs,Preventive Maintenance,4447.37
2018-04-01,Maintenance & Repairs,Repairs,34916.65
2018-04-01,Maintenance & Repairs,Equipment Maintenance,1335.11
2018-04-01,Administrative & General,Management Salaries,14041.4
2018-04-01,Administrative & General,IT Costs,21828.86
2018-04-01,Administrative & General,Insurance,4785.66
2018-05-01,Rooms Department,Front Office Labor,1034.44
2018-05-01,Rooms Department,Guest Amenities,7210.03
2018-05-01,Rooms Department,Cleaning Supplies,25128.94
2018-05-01,Housekeeping & Laundry,Housekeeping Labor,4668.48
2018-05-01,Housekeeping & Laundry,Laundry,11175.41
2018-05-01,Housekeeping & Laundry,Linen Replacement,12364.94
2018-05-01,Utilities,Electricity,5188.52
2018-05-01,Utilities,Water,24649.97
2018-05-01,Utilities,Gas,3952.5
2018-05-01,Sales & Marketing,OTA Commissions,6458.21
2018-05-01,Sales & Marketing,Advertising,2655.62
2018-05-01,Sales & Marketing,Promotions,16653.23
2018-05-01,Maintenance & Repairs,Preventive Maintenance,8837.83
2018-05-01,Maintenance & Repairs,Repairs,11008.06
2018-05-01,Maintenance & Repairs,Equipment Maintenance,5056.95
2018-05-01,Administrative & General,Management Salaries,18321.38
2018-05-01,Administrative & General,IT Costs,10540.08
2018-05-01,Administrative & General,Insurance,6093.38
2018-06-01,Rooms Department,Front Office Labor,16442.75
2018-06-01,Rooms Department,Guest Amenities,494.21
2018-06-01,Rooms Department,Cleaning Supplies,14286.99
2018-06-01,Housekeeping & Laundry,Housekeeping Labor,19559.85
2018-06-01,Housekeeping & Laundry,Laundry,927.73
2018-06-01,Housekeeping & Laundry,Linen Replacement,5190.88
2018-06-01,Utilities,Electricity,5376.23
2018-06-01,Utilities,Water,8062.39
2018-06-01,Utilities,Gas,12617.44
2018-06-01,Sales & Marketing,OTA Commissions,16319.37
2018-06-01,Sales & Marketing,Advertising,5048.85
2018-06-01,Sales & Marketing,Promotions,1634.91
2018-06-01,Maintenance & Repairs,Preventive Maintenance,11180.86
2018-06-01,Maintenance & Repairs,Repairs,5740.42
2018-06-01,Maintenance & Repairs,Equipment Maintenance,12179.79
2018-06-01,Administrative & General,Management Salaries,13845.58
2018-06-01,Administrative & General,IT Costs,21801.44
2018-06-01,Administrative & General,Insurance,159.17
2018-07-01,Rooms Department,Front Office Labor,16439.72
2018-07-01,Rooms Department,Guest Amenities,12897.88
2018-07-01,Rooms Department,Cleaning Supplies,11877.58
2018-07-01,Housekeeping & Laundry,Housekeeping Labor,58170.92
2018-07-01,Housekeeping & Laundry,Laundry,2013.06
2018-07-01,Housekeeping & Laundry,Linen Replacement,2927.52
2018-07-01,Utilities,Electricity,15602.78
2018-07-01,Utilities,Water,50185.26
2018-07-01,Utilities,Gas,6727.13
2018-07-01,Sales & Marketing,OTA Commissions,40859.38
2018-07-01,Sales & Marketing,Advertising,18868.71
2018-07-01,Sales & Marketing,Promotions,5374.57
2018-07-01,Maintenance & Repairs,Preventive Maintenance,34594.07
2018-07-01,Maintenance & Repairs,Repairs,7047.57
2018-07-01,Maintenance & Repairs,Equipment Maintenance,9615.81
2018-07-01,Administrative & General,Management Salaries,818.64
2018-07-01,Administrative & General,IT Costs,30310.48
2018-07-01,Administrative & General,Insurance,40619.08
2018-08-01,Rooms Department,Front Office Labor,34044.03
2018-08-01,Rooms Department,Guest Amenities,4639.67
2018-08-01,Rooms Department,Cleaning Supplies,7444.17
2018-08-01,Housekeeping & Laundry,Housekeeping Labor,27148.2
2018-08-01,Housekeeping & Laundry,Laundry,19759.71
2018-08-01,Housekeeping & Laundry,Linen Replacement,3745.16
2018-08-01,Utilities,Electricity,50559.51
2018-08-01,Utilities,Water,22063.75
2018-08-01,Utilities,Gas,665.13
2018-08-01,Sales & Marketing,OTA Commissions,18096.23
2018-08-01,Sales & Marketing,Advertising,30183.49
2018-08-01,Sales & Marketing,Promotions,26138.47
2018-08-01,Maintenance & Repairs,Preventive Maintenance,4134.18
2018-08-01,Maintenance & Repairs,Repairs,50796.68
2018-08-01,Maintenance & Repairs,Equipment Maintenance,19952.06
2018-08-01,Administrative & General,Management Salaries,18956.34
2018-08-01,Administrative & General,IT Costs,4213.65
2018-08-01,Administrative & General,Insurance,56808.44
2018-09-01,Rooms Department,Front Office Labor,1303.69
2018-09-01,Rooms Department,Guest Amenities,18854.52
2018-09-01,Rooms Department,Cleaning Supplies,23996.9
2018-09-01,Housekeeping & Laundry,Housekeeping Labor,7697.0
2018-09-01,Housekeeping & Laundry,Laundry,10503.47
2018-09-01,Housekeeping & Laundry,Linen Replacement,24510.91
2018-09-01,Utilities,Electricity,5048.56
2018-09-01,Utilities,Water,24001.69
2018-09-01,Utilities,Gas,10458.33
2018-09-01,Sales & Marketing,OTA Commissions,16875.08
2018-09-01,Sales & Marketing,Advertising,207.86
2018-09-01,Sales & Marketing,Promotions,28020.62
2018-09-01,Maintenance & Repairs,Preventive Maintenance,22281.43
2018-09-01,Maintenance & Repairs,Repairs,178.35
2018-09-01,Maintenance & Repairs,Equipment Maintenance,11832.85
2018-09-01,Administrative & General,Management Salaries,3253.32
2018-09-01,Administrative & General,IT Costs,34080.38
2018-09-01,Administrative & General,Insurance,10895.76
2018-10-01,Rooms Department,Front Office Labor,15632.51
2018-10-01,Rooms Department,Guest Amenities,615.09
2018-10-01,Rooms Department,Cleaning Supplies,19336.15
2018-10-01,Housekeeping & Laundry,Housekeeping Labor,2272.86
2018-10-01,Housekeeping & Laundry,Laundry,17051.71
2018-10-01,Housekeeping & Laundry,Linen Replacement,16630.22
2018-10-01,Utilities,Electricity,30466.09
2018-10-01,Utilities,Water,223.69
2018-10-01,Utilities,Gas,8228.68
2018-10-01,Sales & Marketing,OTA Commissions,10654.76
2018-10-01,Sales & Marketing,Advertising,22544.17
2018-10-01,Sales & Marketing,Promotions,2172.16
2018-10-01,Maintenance & Repairs,Preventive Maintenance,15540.55
2018-10-01,Maintenance & Repairs,Repairs,9696.42
2018-10-01,Maintenance & Repairs,Equipment Maintenance,10461.31
2018-10-01,Administrative & General,Management Salaries,12102.43
2018-10-01,Administrative & General,IT Costs,3906.95
2018-10-01,Administrative & General,Insurance,7465.93
2018-11-01,Rooms Department,Front Office Labor,12641.55
2018-11-01,Rooms Department,Guest Amenities,20099.55
2018-11-01,Rooms Department,Cleaning Supplies,15988.24
2018-11-01,Housekeeping & Laundry,Housekeeping Labor,7740.63
2018-11-01,Housekeeping & Laundry,Laundry,12374.2
2018-11-01,Housekeeping & Laundry,Linen Replacement,21692.26
2018-11-01,Utilities,Electricity,9344.63
2018-11-01,Utilities,Water,16609.91
2018-11-01,Utilities,Gas,19609.14
2018-11-01,Sales & Marketing,OTA Commissions,6634.71
2018-11-01,Sales & Marketing,Advertising,20835.66
2018-11-01,Sales & Marketing,Promotions,6056.32
2018-11-01,Maintenance & Repairs,Preventive Maintenance,10807.13
2018-11-01,Maintenance & Repairs,Repairs,10616.62
2018-11-01,Maintenance & Repairs,Equipment Maintenance,23467.35
2018-11-01,Administrative & General,Management Salaries,12148.54
2018-11-01,Administrative & General,IT Costs,11285.33
2018-11-01,Administrative & General,Insurance,17518.32
2018-12-01,Rooms Department,Front Office Labor,4679.07
2018-12-01,Rooms Department,Guest Amenities,33997.72
2018-12-01,Rooms Department,Cleaning Supplies,17234.04
2018-12-01,Housekeeping & Laundry,Housekeeping Labor,61044.29
2018-12-01,Housekeeping & Laundry,Laundry,5633.84
2018-12-01,Housekeeping & Laundry,Linen Replacement,4619.58
2018-12-01,Utilities,Electricity,11002.61
2018-12-01,Utilities,Water,12764.0
2018-12-01,Utilities,Gas,35145.98
2018-12-01,Sales & Marketing,OTA Commissions,9663.51
2018-12-01,Sales & Marketing,Advertising,15751.79
2018-12-01,Sales & Marketing,Promotions,16998.57
2018-12-01,Maintenance & Repairs,Preventive Maintenance,35286.82
2018-12-01,Maintenance & Repairs,Repairs,17332.94
2018-12-01,Maintenance & Repairs,Equipment Maintenance,4775.46
2018-12-01,Administrative & General,Management Salaries,6144.88
2018-12-01,Administrative & General,IT Costs,7231.42
2018-12-01,Administrative & General,Insurance,57828.5
2019-01-01,Rooms Department,Front Office Labor,9543.55
2019-01-01,Rooms Department,Guest Amenities,17100.99
2019-01-01,Rooms Department,Cleaning Supplies,10752.86
2019-01-01,Housekeeping & Laundry,Housekeeping Labor,2001.45
2019-01-01,Housekeeping & Laundry,Laundry,37206.8
2019-01-01,Housekeeping & Laundry,Linen Replacement,3887.58
2019-01-01,Utilities,Electricity,45838.23
2019-01-01,Utilities,Water,8679.1
2019-01-01,Utilities,Gas,6504.02
2019-01-01,Sales & Marketing,OTA Commissions,27202.86
2019-01-01,Sales & Marketing,Advertising,1784.73
2019-01-01,Sales & Marketing,Promotions,8325.92
2019-01-01,Maintenance & Repairs,Preventive Maintenance,2057.81
2019-01-01,Maintenance & Repairs,Repairs,7764.97
2019-01-01,Maintenance & Repairs,Equipment Maintenance,30745.53
2019-01-01,Administrative & General,Management Salaries,46241.0
2019-01-01,Administrative & General,IT Costs,5671.86
2019-01-01,Administrative & General,Insurance,8717.28
2019-02-01,Rooms Department,Front Office Labor,20795.94
2019-02-01,Rooms Department,Guest Amenities,1534.58
2019-02-01,Rooms Department,Cleaning Supplies,32822.71
2019-02-01,Housekeeping & Laundry,Housekeeping Labor,24880.88
2019-02-01,Housekeeping & Laundry,Laundry,474.65
2019-02-01,Housekeeping & Laundry,Linen Replacement,6787.56
2019-02-01,Utilities,Electricity,19812.11
2019-02-01,Utilities,Water,13911.38
2019-02-01,Utilities,Gas,2168.62
2019-02-01,Sales & Marketing,OTA Commissions,9041.98
2019-02-01,Sales & Marketing,Advertising,37708.15
2019-02-01,Sales & Marketing,Promotions,2965.61
2019-02-01,Maintenance & Repairs,Preventive Maintenance,28891.02
2019-02-01,Maintenance & Repairs,Repairs,6642.57
2019-02-01,Maintenance & Repairs,Equipment Maintenance,7705.14
2019-02-01,Administrative & General,Management Salaries,8610.18
2019-02-01,Administrative & General,IT Costs,30950.36
2019-02-01,Administrative & General,Insurance,15362.83
2019-03-01,Rooms Department,Front Office Labor,25044.99
2019-03-01,Rooms Department,Guest Amenities,19942.47
2019-03-01,Rooms Department,Cleaning Supplies,147.6
2019-03-01,Housekeeping & Laundry,Housekeeping Labor,37651.72
2019-03-01,Housekeeping & Laundry,Laundry,15184.22
2019-03-01,Housekeeping & Laundry,Linen Replacement,2649.67
2019-03-01,Utilities,Electricity,42403.13
2019-03-01,Utilities,Water,5777.49
2019-03-01,Utilities,Gas,6316.74
2019-03-01,Sales & Marketing,OTA Commissions,4737.18
2019-03-01,Sales & Marketing,Advertising,3750.75
2019-03-01,Sales & Marketing,Promotions,28175.18
2019-03-01,Maintenance & Repairs,Preventive Maintenance,17339.88
2019-03-01,Maintenance & Repairs,Repairs,32526.54
2019-03-01,Maintenance & Repairs,Equipment Maintenance,2364.83
2019-03-01,Administrative & General,Management Salaries,34554.4
2019-03-01,Administrative & General,IT Costs,21921.35
2019-03-01,Administrative & General,Insurance,4954.36
2019-04-01,Rooms Department,Front Office Labor,1541.41
2019-04-01,Rooms Department,Guest Amenities,5281.87
2019-04-01,Rooms Department,Cleaning Supplies,29826.63
2019-04-01,Housekeeping & Laundry,Housekeeping Labor,15457.9
2019-04-01,Housekeeping & Laundry,Laundry,9111.79
2019-04-01,Housekeeping & Laundry,Linen Replacement,912.94
2019-04-01,Utilities,Electricity,15669.48
2019-04-01,Utilities,Water,7631.92
2019-04-01,Utilities,Gas,1318.1
2019-04-01,Sales & Marketing,OTA Commissions,4202.35
2019-04-01,Sales & Marketing,Advertising,27046.46
2019-04-01,Sales & Marketing,Promotions,3920.32
2019-04-01,Maintenance & Repairs,Preventive Maintenance,4453.25
2019-04-01,Maintenance & Repairs,Repairs,16330.6
2019-04-01,Maintenance & Repairs,Equipment Maintenance,396.14
2019-04-01,Administrative & General,Management Salaries,3589.38
2019-04-01,Administrative & General,IT Costs,2537.51
2019-04-01,Administrative & General,Insurance,26716.24
2019-05-01,Rooms Department,Front Office Labor,5344.16
2019-05-01,Rooms Department,Guest Amenities,33800.33
2019-05-01,Rooms Department,Cleaning Supplies,5849.65
2019-05-01,Housekeeping & Laundry,Housekeeping Labor,16477.09
2019-05-01,Housekeeping & Laundry,Laundry,8334.93
2019-05-01,Housekeeping & Laundry,Linen Replacement,3942.64
2019-05-01,Utilities,Electricity,1685.33
2019-05-01,Utilities,Water,43765.82
2019-05-01,Utilities,Gas,1141.81
2019-05-01,Sales & Marketing,OTA Commissions,22640.31
2019-05-01,Sales & Marketing,Advertising,11332.64
2019-05-01,Sales & Marketing,Promotions,4034.94
2019-05-01,Maintenance & Repairs,Preventive Maintenance,30208.95
2019-05-01,Maintenance & Repairs,Repairs,4585.16
2019-05-01,Maintenance & Repairs,Equipment Maintenance,6402.55
2019-05-01,Administrative & General,Management Salaries,2357.79
2019-05-01,Administrative & General,IT Costs,1339.79
2019-05-01,Administrative & General,Insurance,42550.82
2019-06-01,Rooms Department,Front Office Labor,15619.72
2019-06-01,Rooms Department,Guest Amenities,11020.79
2019-06-01,Rooms Department,Cleaning Supplies,421.72
2019-06-01,Housekeeping & Laundry,Housekeeping Labor,17366.3
2019-06-01,Housekeeping & Laundry,Laundry,7003.57
2019-06-01,Housekeeping & Laundry,Linen Replacement,2445.66
2019-06-01,Utilities,Electricity,3269.55
2019-06-01,Utilities,Water,27274.94
2019-06-01,Utilities,Gas,3270.86
2019-06-01,Sales & Marketing,OTA Commissions,27584.29
2019-06-01,Sales & Marketing,Advertising,4840.42
2019-06-01,Sales & Marketing,Promotions,334.63
2019-06-01,Maintenance & Repairs,Preventive Maintenance,7906.05
2019-06-01,Maintenance & Repairs,Repairs,1983.65
2019-06-01,Maintenance & Repairs,Equipment Maintenance,14625.74
2019-06-01,Administrative & General,Management Salaries,18950.34
2019-06-01,Administrative & General,IT Costs,10514.65
2019-06-01,Administrative & General,Insurance,969.6
2019-07-01,Rooms Department,Front Office Labor,2240.4
2019-07-01,Rooms Department,Guest Amenities,12511.27
2019-07-01,Rooms Department,Cleaning Supplies,14027.01
2019-07-01,Housekeeping & Laundry,Housekeeping Labor,5736.72
2019-07-01,Housekeeping & Laundry,Laundry,29142.93
2019-07-01,Housekeeping & Laundry,Linen Replacement,10641.9
2019-07-01,Utilities,Electricity,3577.05
2019-07-01,Utilities,Water,7758.49
2019-07-01,Utilities,Gas,22961.62
2019-07-01,Sales & Marketing,OTA Commissions,7232.95
2019-07-01,Sales & Marketing,Advertising,17640.32
2019-07-01,Sales & Marketing,Promotions,9137.99
2019-07-01,Maintenance & Repairs,Preventive Maintenance,4419.19
2019-07-01,Maintenance & Repairs,Repairs,941.22
2019-07-01,Maintenance & Repairs,Equipment Maintenance,39337.57
2019-07-01,Administrative & General,Management Salaries,4414.59
2019-07-01,Administrative & General,IT Costs,20405.53
2019-07-01,Administrative & General,Insurance,4873.29
2019-08-01,Rooms Department,Front Office Labor,8323.94
2019-08-01,Rooms Department,Guest Amenities,27574.51
2019-08-01,Rooms Department,Cleaning Supplies,13748.8
2019-08-01,Housekeeping & Laundry,Housekeeping Labor,3010.95
2019-08-01,Housekeeping & Laundry,Laundry,27674.23
2019-08-01,Housekeeping & Laundry,Linen Replacement,5360.48
2019-08-01,Utilities,Electricity,32948.27
2019-08-01,Utilities,Water,14628.6
2019-08-01,Utilities,Gas,1409.57
2019-08-01,Sales & Marketing,OTA Commissions,24066.45
2019-08-01,Sales & Marketing,Advertising,14523.85
2019-08-01,Sales & Marketing,Promotions,11500.4
2019-08-01,Maintenance & Repairs,Preventive Maintenance,7754.5
2019-08-01,Maintenance & Repairs,Repairs,32187.36
2019-08-01,Maintenance & Repairs,Equipment Maintenance,4345.26
2019-08-01,Administrative & General,Management Salaries,16074.76
2019-08-01,Administrative & General,IT Costs,13448.81
2019-08-01,Administrative & General,Insurance,10929.26
2019-09-01,Rooms Department,Front Office Labor,11380.71
2019-09-01,Rooms Department,Guest Amenities,5973.94
2019-09-01,Rooms Department,Cleaning Supplies,9010.1
2019-09-01,Housekeeping & Laundry,Housekeeping Labor,2939.77
2019-09-01,Housekeeping & Laundry,Laundry,14607.8
2019-09-01,Housekeeping & Laundry,Linen Replacement,9280.19
2019-09-01,Utilities,Electricity,17581.35
2019-09-01,Utilities,Water,5304.83
2019-09-01,Utilities,Gas,7330.1
2019-09-01,Sales & Marketing,OTA Commissions,20043.95
2019-09-01,Sales & Marketing,Advertising,15874.69
2019-09-01,Sales & Marketing,Promotions,520.5
2019-09-01,Maintenance & Repairs,Preventive Maintenance,3717.17
2019-09-01,Maintenance & Repairs,Repairs,7711.3
2019-09-01,Maintenance & Repairs,Equipment Maintenance,13003.17
2019-09-01,Administrative & General,Management Salaries,8589.48
2019-09-01,Administrative & General,IT Costs,611.33
